year,age,sex,industry,numberOfWorkers,,,,,,,,,,,,,,,
2010,55-59,female,"Arts, Entertainment & Recreation",1100,,,,,,,,,,,,,,,
2009,55-59,female,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2008,55-59,female,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2007,55-59,female,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2006,55-59,female,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2005,55-59,female,"Arts, Entertainment & Recreation",700,,,,,,,,,,,,,,,
2004,55-59,female,"Arts, Entertainment & Recreation",800,,,,,,,,,,,,,,,
2003,55-59,female,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2002,55-59,female,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2001,55-59,female,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2000,55-59,female,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2021,60-64,female,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2020,60-64,female,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2019,60-64,female,"Arts, Entertainment & Recreation",1100,,,,,,,,,,,,,,,
2018,60-64,female,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2017,60-64,female,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2016,60-64,female,"Arts, Entertainment & Recreation",900,,,,,,,,,,,,,,,
2015,60-64,female,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2014,60-64,female,"Arts, Entertainment & Recreation",1100,,,,,,,,,,,,,,,
2013,60-64,female,"Arts, Entertainment & Recreation",700,,,,,,,,,,,,,,,
2012,60-64,female,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2011,60-64,female,"Arts, Entertainment & Recreation",800,,,,,,,,,,,,,,,
2010,60-64,female,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2009,60-64,female,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2008,60-64,female,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2007,60-64,female,"Arts, Entertainment & Recreation",200,,,,,,,,,,,,,,,
2006,60-64,female,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2005,60-64,female,"Arts, Entertainment & Recreation",200,,,,,,,,,,,,,,,
2004,60-64,female,"Arts, Entertainment & Recreation",0,,,,,,,,,,,,,,,
2003,60-64,female,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2002,60-64,female,"Arts, Entertainment & Recreation",200,,,,,,,,,,,,,,,
2001,60-64,female,"Arts, Entertainment & Recreation",300,,,,,,,,,,,,,,,
2000,60-64,female,"Arts, Entertainment & Recreation",200,,,,,,,,,,,,,,,
2021,65 and older,female,"Arts, Entertainment & Recreation",1400,,,,,,,,,,,,,,,
2020,65 and older,female,"Arts, Entertainment & Recreation",1100,,,,,,,,,,,,,,,
2019,65 and older,female,"Arts, Entertainment & Recreation",1100,,,,,,,,,,,,,,,
2018,65 and older,female,"Arts, Entertainment & Recreation",700,,,,,,,,,,,,,,,
2017,65 and older,female,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2016,65 and older,female,"Arts, Entertainment & Recreation",800,,,,,,,,,,,,,,,
2015,65 and older,female,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2014,65 and older,female,"Arts, Entertainment & Recreation",800,,,,,,,,,,,,,,,
2013,65 and older,female,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2012,65 and older,female,"Arts, Entertainment & Recreation",300,,,,,,,,,,,,,,,
2011,65 and older,female,"Arts, Entertainment & Recreation",300,,,,,,,,,,,,,,,
2010,65 and older,female,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2009,65 and older,female,"Arts, Entertainment & Recreation",0,,,,,,,,,,,,,,,
2008,65 and older,female,"Arts, Entertainment & Recreation",200,,,,,,,,,,,,,,,
2007,65 and older,female,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2006,65 and older,female,"Arts, Entertainment & Recreation",0,,,,,,,,,,,,,,,
2005,65 and older,female,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2004,65 and older,female,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2003,65 and older,female,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2002,65 and older,female,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2001,65 and older,female,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2000,65 and older,female,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2021,15-19,male,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2020,15-19,male,"Arts, Entertainment & Recreation",200,,,,,,,,,,,,,,,
2019,15-19,male,"Arts, Entertainment & Recreation",200,,,,,,,,,,,,,,,
2018,15-19,male,"Arts, Entertainment & Recreation",700,,,,,,,,,,,,,,,
2017,15-19,male,"Arts, Entertainment & Recreation",200,,,,,,,,,,,,,,,
2016,15-19,male,"Arts, Entertainment & Recreation",200,,,,,,,,,,,,,,,
2015,15-19,male,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2014,15-19,male,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2013,15-19,male,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2012,15-19,male,"Arts, Entertainment & Recreation",300,,,,,,,,,,,,,,,
2011,15-19,male,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2010,15-19,male,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2009,15-19,male,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2008,15-19,male,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2007,15-19,male,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2006,15-19,male,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2005,15-19,male,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2004,15-19,male,"Arts, Entertainment & Recreation",0,,,,,,,,,,,,,,,
2003,15-19,male,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2002,15-19,male,"Arts, Entertainment & Recreation",0,,,,,,,,,,,,,,,
2001,15-19,male,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2000,15-19,male,"Arts, Entertainment & Recreation",100,,,,,,,,,,,,,,,
2021,20-24,male,"Arts, Entertainment & Recreation",700,,,,,,,,,,,,,,,
2020,20-24,male,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2019,20-24,male,"Arts, Entertainment & Recreation",1400,,,,,,,,,,,,,,,
2018,20-24,male,"Arts, Entertainment & Recreation",1300,,,,,,,,,,,,,,,
2017,20-24,male,"Arts, Entertainment & Recreation",2000,,,,,,,,,,,,,,,
2016,20-24,male,"Arts, Entertainment & Recreation",1800,,,,,,,,,,,,,,,
2015,20-24,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2014,20-24,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2013,20-24,male,"Arts, Entertainment & Recreation",1800,,,,,,,,,,,,,,,
2012,20-24,male,"Arts, Entertainment & Recreation",2900,,,,,,,,,,,,,,,
2011,20-24,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2010,20-24,male,"Arts, Entertainment & Recreation",1700,,,,,,,,,,,,,,,
2009,20-24,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2008,20-24,male,"Arts, Entertainment & Recreation",700,,,,,,,,,,,,,,,
2007,20-24,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2006,20-24,male,"Arts, Entertainment & Recreation",800,,,,,,,,,,,,,,,
2005,20-24,male,"Arts, Entertainment & Recreation",700,,,,,,,,,,,,,,,
2004,20-24,male,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2003,20-24,male,"Arts, Entertainment & Recreation",300,,,,,,,,,,,,,,,
2002,20-24,male,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2001,20-24,male,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2000,20-24,male,"Arts, Entertainment & Recreation",700,,,,,,,,,,,,,,,
2021,25-29,male,"Arts, Entertainment & Recreation",1900,,,,,,,,,,,,,,,
2020,25-29,male,"Arts, Entertainment & Recreation",2500,,,,,,,,,,,,,,,
2019,25-29,male,"Arts, Entertainment & Recreation",1800,,,,,,,,,,,,,,,
2018,25-29,male,"Arts, Entertainment & Recreation",2300,,,,,,,,,,,,,,,
2017,25-29,male,"Arts, Entertainment & Recreation",2200,,,,,,,,,,,,,,,
2016,25-29,male,"Arts, Entertainment & Recreation",3600,,,,,,,,,,,,,,,
2015,25-29,male,"Arts, Entertainment & Recreation",2700,,,,,,,,,,,,,,,
2014,25-29,male,"Arts, Entertainment & Recreation",2700,,,,,,,,,,,,,,,
2013,25-29,male,"Arts, Entertainment & Recreation",3300,,,,,,,,,,,,,,,
2012,25-29,male,"Arts, Entertainment & Recreation",3000,,,,,,,,,,,,,,,
2011,25-29,male,"Arts, Entertainment & Recreation",3200,,,,,,,,,,,,,,,
2010,25-29,male,"Arts, Entertainment & Recreation",2800,,,,,,,,,,,,,,,
2009,25-29,male,"Arts, Entertainment & Recreation",2000,,,,,,,,,,,,,,,
2008,25-29,male,"Arts, Entertainment & Recreation",1500,,,,,,,,,,,,,,,
2007,25-29,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2006,25-29,male,"Arts, Entertainment & Recreation",1800,,,,,,,,,,,,,,,
2005,25-29,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2004,25-29,male,"Arts, Entertainment & Recreation",800,,,,,,,,,,,,,,,
2003,25-29,male,"Arts, Entertainment & Recreation",800,,,,,,,,,,,,,,,
2002,25-29,male,"Arts, Entertainment & Recreation",700,,,,,,,,,,,,,,,
2001,25-29,male,"Arts, Entertainment & Recreation",800,,,,,,,,,,,,,,,
2000,25-29,male,"Arts, Entertainment & Recreation",1400,,,,,,,,,,,,,,,
2021,30-34,male,"Arts, Entertainment & Recreation",3000,,,,,,,,,,,,,,,
2020,30-34,male,"Arts, Entertainment & Recreation",2800,,,,,,,,,,,,,,,
2019,30-34,male,"Arts, Entertainment & Recreation",2100,,,,,,,,,,,,,,,
2018,30-34,male,"Arts, Entertainment & Recreation",2500,,,,,,,,,,,,,,,
2017,30-34,male,"Arts, Entertainment & Recreation",2400,,,,,,,,,,,,,,,
2016,30-34,male,"Arts, Entertainment & Recreation",2900,,,,,,,,,,,,,,,
2015,30-34,male,"Arts, Entertainment & Recreation",1900,,,,,,,,,,,,,,,
2014,30-34,male,"Arts, Entertainment & Recreation",2400,,,,,,,,,,,,,,,
2013,30-34,male,"Arts, Entertainment & Recreation",2800,,,,,,,,,,,,,,,
2012,30-34,male,"Arts, Entertainment & Recreation",2600,,,,,,,,,,,,,,,
2011,30-34,male,"Arts, Entertainment & Recreation",2600,,,,,,,,,,,,,,,
2010,30-34,male,"Arts, Entertainment & Recreation",2400,,,,,,,,,,,,,,,
2009,30-34,male,"Arts, Entertainment & Recreation",1300,,,,,,,,,,,,,,,
2008,30-34,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2007,30-34,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2006,30-34,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2005,30-34,male,"Arts, Entertainment & Recreation",1300,,,,,,,,,,,,,,,
2004,30-34,male,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2003,30-34,male,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2002,30-34,male,"Arts, Entertainment & Recreation",800,,,,,,,,,,,,,,,
2001,30-34,male,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2000,30-34,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2021,35-39,male,"Arts, Entertainment & Recreation",2700,,,,,,,,,,,,,,,
2020,35-39,male,"Arts, Entertainment & Recreation",2100,,,,,,,,,,,,,,,
2019,35-39,male,"Arts, Entertainment & Recreation",2300,,,,,,,,,,,,,,,
2018,35-39,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2017,35-39,male,"Arts, Entertainment & Recreation",1800,,,,,,,,,,,,,,,
2016,35-39,male,"Arts, Entertainment & Recreation",1800,,,,,,,,,,,,,,,
2015,35-39,male,"Arts, Entertainment & Recreation",2300,,,,,,,,,,,,,,,
2014,35-39,male,"Arts, Entertainment & Recreation",1700,,,,,,,,,,,,,,,
2013,35-39,male,"Arts, Entertainment & Recreation",2500,,,,,,,,,,,,,,,
2012,35-39,male,"Arts, Entertainment & Recreation",3100,,,,,,,,,,,,,,,
2011,35-39,male,"Arts, Entertainment & Recreation",1900,,,,,,,,,,,,,,,
2010,35-39,male,"Arts, Entertainment & Recreation",1800,,,,,,,,,,,,,,,
2009,35-39,male,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2008,35-39,male,"Arts, Entertainment & Recreation",1400,,,,,,,,,,,,,,,
2007,35-39,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2006,35-39,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2005,35-39,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2004,35-39,male,"Arts, Entertainment & Recreation",900,,,,,,,,,,,,,,,
2003,35-39,male,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2002,35-39,male,"Arts, Entertainment & Recreation",1300,,,,,,,,,,,,,,,
2001,35-39,male,"Arts, Entertainment & Recreation",900,,,,,,,,,,,,,,,
2000,35-39,male,"Arts, Entertainment & Recreation",1500,,,,,,,,,,,,,,,
2021,40-44,male,"Arts, Entertainment & Recreation",2300,,,,,,,,,,,,,,,
2020,40-44,male,"Arts, Entertainment & Recreation",1900,,,,,,,,,,,,,,,
2019,40-44,male,"Arts, Entertainment & Recreation",2400,,,,,,,,,,,,,,,
2018,40-44,male,"Arts, Entertainment & Recreation",2500,,,,,,,,,,,,,,,
2017,40-44,male,"Arts, Entertainment & Recreation",1900,,,,,,,,,,,,,,,
2016,40-44,male,"Arts, Entertainment & Recreation",2000,,,,,,,,,,,,,,,
2015,40-44,male,"Arts, Entertainment & Recreation",2100,,,,,,,,,,,,,,,
2014,40-44,male,"Arts, Entertainment & Recreation",2100,,,,,,,,,,,,,,,
2013,40-44,male,"Arts, Entertainment & Recreation",1900,,,,,,,,,,,,,,,
2012,40-44,male,"Arts, Entertainment & Recreation",2000,,,,,,,,,,,,,,,
2011,40-44,male,"Arts, Entertainment & Recreation",2100,,,,,,,,,,,,,,,
2010,40-44,male,"Arts, Entertainment & Recreation",2000,,,,,,,,,,,,,,,
2009,40-44,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2008,40-44,male,"Arts, Entertainment & Recreation",1800,,,,,,,,,,,,,,,
2007,40-44,male,"Arts, Entertainment & Recreation",1800,,,,,,,,,,,,,,,
2006,40-44,male,"Arts, Entertainment & Recreation",1100,,,,,,,,,,,,,,,
2005,40-44,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2004,40-44,male,"Arts, Entertainment & Recreation",800,,,,,,,,,,,,,,,
2003,40-44,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2002,40-44,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2001,40-44,male,"Arts, Entertainment & Recreation",1100,,,,,,,,,,,,,,,
2000,40-44,male,"Arts, Entertainment & Recreation",1500,,,,,,,,,,,,,,,
2021,45-49,male,"Arts, Entertainment & Recreation",1400,,,,,,,,,,,,,,,
2020,45-49,male,"Arts, Entertainment & Recreation",1900,,,,,,,,,,,,,,,
2019,45-49,male,"Arts, Entertainment & Recreation",1300,,,,,,,,,,,,,,,
2018,45-49,male,"Arts, Entertainment & Recreation",2400,,,,,,,,,,,,,,,
2017,45-49,male,"Arts, Entertainment & Recreation",2300,,,,,,,,,,,,,,,
2016,45-49,male,"Arts, Entertainment & Recreation",1800,,,,,,,,,,,,,,,
2015,45-49,male,"Arts, Entertainment & Recreation",2300,,,,,,,,,,,,,,,
2014,45-49,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2013,45-49,male,"Arts, Entertainment & Recreation",1900,,,,,,,,,,,,,,,
2012,45-49,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2011,45-49,male,"Arts, Entertainment & Recreation",1900,,,,,,,,,,,,,,,
2010,45-49,male,"Arts, Entertainment & Recreation",1400,,,,,,,,,,,,,,,
2009,45-49,male,"Arts, Entertainment & Recreation",1500,,,,,,,,,,,,,,,
2008,45-49,male,"Arts, Entertainment & Recreation",2000,,,,,,,,,,,,,,,
2007,45-49,male,"Arts, Entertainment & Recreation",1400,,,,,,,,,,,,,,,
2006,45-49,male,"Arts, Entertainment & Recreation",1100,,,,,,,,,,,,,,,
2005,45-49,male,"Arts, Entertainment & Recreation",1300,,,,,,,,,,,,,,,
2004,45-49,male,"Arts, Entertainment & Recreation",1100,,,,,,,,,,,,,,,
2003,45-49,male,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2002,45-49,male,"Arts, Entertainment & Recreation",1400,,,,,,,,,,,,,,,
2001,45-49,male,"Arts, Entertainment & Recreation",700,,,,,,,,,,,,,,,
2000,45-49,male,"Arts, Entertainment & Recreation",1300,,,,,,,,,,,,,,,
2021,50-54,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2020,50-54,male,"Arts, Entertainment & Recreation",1800,,,,,,,,,,,,,,,
2019,50-54,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2018,50-54,male,"Arts, Entertainment & Recreation",1700,,,,,,,,,,,,,,,
2017,50-54,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2016,50-54,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2015,50-54,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2014,50-54,male,"Arts, Entertainment & Recreation",1500,,,,,,,,,,,,,,,
2013,50-54,male,"Arts, Entertainment & Recreation",2100,,,,,,,,,,,,,,,
2012,50-54,male,"Arts, Entertainment & Recreation",2200,,,,,,,,,,,,,,,
2011,50-54,male,"Arts, Entertainment & Recreation",1500,,,,,,,,,,,,,,,
2010,50-54,male,"Arts, Entertainment & Recreation",2100,,,,,,,,,,,,,,,
2009,50-54,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2008,50-54,male,"Arts, Entertainment & Recreation",1300,,,,,,,,,,,,,,,
2007,50-54,male,"Arts, Entertainment & Recreation",1400,,,,,,,,,,,,,,,
2006,50-54,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2005,50-54,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2004,50-54,male,"Arts, Entertainment & Recreation",700,,,,,,,,,,,,,,,
2003,50-54,male,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2002,50-54,male,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2001,50-54,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2000,50-54,male,"Arts, Entertainment & Recreation",1100,,,,,,,,,,,,,,,
2021,55-59,male,"Arts, Entertainment & Recreation",1400,,,,,,,,,,,,,,,
2020,55-59,male,"Arts, Entertainment & Recreation",1500,,,,,,,,,,,,,,,
2019,55-59,male,"Arts, Entertainment & Recreation",1100,,,,,,,,,,,,,,,
2018,55-59,male,"Arts, Entertainment & Recreation",1900,,,,,,,,,,,,,,,
2017,55-59,male,"Arts, Entertainment & Recreation",1300,,,,,,,,,,,,,,,
2016,55-59,male,"Arts, Entertainment & Recreation",1700,,,,,,,,,,,,,,,
2015,55-59,male,"Arts, Entertainment & Recreation",1400,,,,,,,,,,,,,,,
2014,55-59,male,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2013,55-59,male,"Arts, Entertainment & Recreation",1600,,,,,,,,,,,,,,,
2012,55-59,male,"Arts, Entertainment & Recreation",900,,,,,,,,,,,,,,,
2011,55-59,male,"Arts, Entertainment & Recreation",1500,,,,,,,,,,,,,,,
2010,55-59,male,"Arts, Entertainment & Recreation",900,,,,,,,,,,,,,,,
2009,55-59,male,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2008,55-59,male,"Arts, Entertainment & Recreation",900,,,,,,,,,,,,,,,
2007,55-59,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2006,55-59,male,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2005,55-59,male,"Arts, Entertainment & Recreation",800,,,,,,,,,,,,,,,
2004,55-59,male,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2003,55-59,male,"Arts, Entertainment & Recreation",800,,,,,,,,,,,,,,,
2002,55-59,male,"Arts, Entertainment & Recreation",700,,,,,,,,,,,,,,,
2001,55-59,male,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2000,55-59,male,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2021,60-64,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2020,60-64,male,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2019,60-64,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2018,60-64,male,"Arts, Entertainment & Recreation",1100,,,,,,,,,,,,,,,
2017,60-64,male,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2016,60-64,male,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2015,60-64,male,"Arts, Entertainment & Recreation",1100,,,,,,,,,,,,,,,
2014,60-64,male,"Arts, Entertainment & Recreation",1300,,,,,,,,,,,,,,,
2013,60-64,male,"Arts, Entertainment & Recreation",1100,,,,,,,,,,,,,,,
2012,60-64,male,"Arts, Entertainment & Recreation",1400,,,,,,,,,,,,,,,
2011,60-64,male,"Arts, Entertainment & Recreation",800,,,,,,,,,,,,,,,
2010,60-64,male,"Arts, Entertainment & Recreation",800,,,,,,,,,,,,,,,
2009,60-64,male,"Arts, Entertainment & Recreation",700,,,,,,,,,,,,,,,
2008,60-64,male,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2007,60-64,male,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2006,60-64,male,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2005,60-64,male,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2004,60-64,male,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2003,60-64,male,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2002,60-64,male,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2001,60-64,male,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2000,60-64,male,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2021,65 and older,male,"Arts, Entertainment & Recreation",1000,,,,,,,,,,,,,,,
2020,65 and older,male,"Arts, Entertainment & Recreation",900,,,,,,,,,,,,,,,
2019,65 and older,male,"Arts, Entertainment & Recreation",700,,,,,,,,,,,,,,,
2018,65 and older,male,"Arts, Entertainment & Recreation",1200,,,,,,,,,,,,,,,
2017,65 and older,male,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2016,65 and older,male,"Arts, Entertainment & Recreation",1500,,,,,,,,,,,,,,,
2015,65 and older,male,"Arts, Entertainment & Recreation",900,,,,,,,,,,,,,,,
2014,65 and older,male,"Arts, Entertainment & Recreation",900,,,,,,,,,,,,,,,
2013,65 and older,male,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2012,65 and older,male,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2011,65 and older,male,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2010,65 and older,male,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2009,65 and older,male,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2008,65 and older,male,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2007,65 and older,male,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2006,65 and older,male,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2005,65 and older,male,"Arts, Entertainment & Recreation",500,,,,,,,,,,,,,,,
2004,65 and older,male,"Arts, Entertainment & Recreation",300,,,,,,,,,,,,,,,
2003,65 and older,male,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2002,65 and older,male,"Arts, Entertainment & Recreation",600,,,,,,,,,,,,,,,
2001,65 and older,male,"Arts, Entertainment & Recreation",300,,,,,,,,,,,,,,,
2000,65 and older,male,"Arts, Entertainment & Recreation",400,,,,,,,,,,,,,,,
2021,15-19,female,Other Community Social Personal Services,300,,,,,,,,,,,,,,,
2020,15-19,female,Other Community Social Personal Services,300,,,,,,,,,,,,,,,
2019,15-19,female,Other Community Social Personal Services,200,,,,,,,,,,,,,,,
2018,15-19,female,Other Community Social Personal Services,400,,,,,,,,,,,,,,,
2017,15-19,female,Other Community Social Personal Services,300,,,,,,,,,,,,,,,
2016,15-19,female,Other Community Social Personal Services,200,,,,,,,,,,,,,,,
2015,15-19,female,Other Community Social Personal Services,300,,,,,,,,,,,,,,,
2014,15-19,female,Other Community Social Personal Services,200,,,,,,,,,,,,,,,
2013,15-19,female,Other Community Social Personal Services,300,,,,,,,,,,,,,,,
2012,15-19,female,Other Community Social Personal Services,400,,,,,,,,,,,,,,,
2011,15-19,female,Other Community Social Personal Services,400,,,,,,,,,,,,,,,
2010,15-19,female,Other Community Social Personal Services,400,,,,,,,,,,,,,,,
2009,15-19,female,Other Community Social Personal Services,500,,,,,,,,,,,,,,,
2008,15-19,female,Other Community Social Personal Services,400,,,,,,,,,,,,,,,
2007,15-19,female,Other Community Social Personal Services,300,,,,,,,,,,,,,,,
2006,15-19,female,Other Community Social Personal Services,300,,,,,,,,,,,,,,,
2005,15-19,female,Other Community Social Personal Services,400,,,,,,,,,,,,,,,
2004,15-19,female,Other Community Social Personal Services,400,,,,,,,,,,,,,,,
2003,15-19,female,Other Community Social Personal Services,400,,,,,,,,,,,,,,,
2002,15-19,female,Other Community Social Personal Services,300,,,,,,,,,,,,,,,
2001,15-19,female,Other Community Social Personal Services,200,,,,,,,,,,,,,,,
2000,15-19,female,Other Community Social Personal Services,200,,,,,,,,,,,,,,,
2021,20-24,female,Other Community Social Personal Services,1700,,,,,,,,,,,,,,,
2020,20-24,female,Other Community Social Personal Services,1800,,,,,,,,,,,,,,,
2019,20-24,female,Other Community Social Personal Services,1600,,,,,,,,,,,,,,,
2018,20-24,female,Other Community Social Personal Services,2100,,,,,,,,,,,,,,,
2017,20-24,female,Other Community Social Personal Services,1900,,,,,,,,,,,,,,,
2016,20-24,female,Other Community Social Personal Services,2100,,,,,,,,,,,,,,,
2015,20-24,female,Other Community Social Personal Services,2900,,,,,,,,,,,,,,,
2014,20-24,female,Other Community Social Personal Services,1500,,,,,,,,,,,,,,,
2013,20-24,female,Other Community Social Personal Services,1700,,,,,,,,,,,,,,,
2012,20-24,female,Other Community Social Personal Services,1600,,,,,,,,,,,,,,,
2011,20-24,female,Other Community Social Personal Services,1900,,,,,,,,,,,,,,,
